iter	Logloss
0	0.6386010769
1	0.5951920294
2	0.5552185265
3	0.5202808651
4	0.4901469884
5	0.4611917259
6	0.4380890338
7	0.4176828782
8	0.3998757618
9	0.3848235276
10	0.3718276605
11	0.3592485756
12	0.3476351149
13	0.337911255
14	0.3290726017
15	0.3213804252
16	0.3144416299
17	0.3090275506
18	0.3031644641
19	0.2985176253
20	0.2938173048
21	0.2903827246
22	0.2864792703
23	0.2832892431
24	0.2807573735
25	0.2782360043
26	0.2760550409
27	0.2738498562
28	0.2717541883
29	0.2697338406
30	0.2679328568
31	0.2664348476
32	0.2653511391
33	0.2640849512
34	0.2628650107
35	0.2619289967
36	0.2609963466
37	0.2600564811
38	0.2591503305
39	0.2583462574
40	0.257713347
41	0.2570157082
42	0.2565003408
43	0.2559446406
44	0.2555474507
45	0.255003265
46	0.2544170689
47	0.2539819208
48	0.2535605622
49	0.2531797217
50	0.2528667824
51	0.2524790862
52	0.2521720306
53	0.2518452837
54	0.2515956516
55	0.2513992171
56	0.2511014787
57	0.250846062
58	0.2505307698
59	0.2502938349
60	0.2501025734
61	0.2498855481
62	0.2496413584
63	0.2493754267
64	0.2491692857
65	0.2489622479
66	0.2487373006
67	0.2485507333
68	0.2483635147
69	0.2481287801
70	0.2479488181
71	0.2478001329
72	0.2476321961
73	0.247468856
74	0.2472789212
75	0.2471474773
76	0.2469875417
77	0.2468415863
78	0.2466578806
79	0.2465020317
80	0.2463516614
81	0.2462031324
82	0.2460331104
83	0.2458982028
84	0.2457413597
85	0.2456552659
86	0.2455191458
87	0.2454155558
88	0.2453067521
89	0.2451770195
90	0.2450693836
91	0.2449557936
92	0.2448514112
93	0.2447112311
94	0.2445989746
95	0.2444652278
96	0.2443533595
97	0.2442344155
98	0.244128547
99	0.2440440687
100	0.2439297869
101	0.2438223136
102	0.2437211251
103	0.243623022
104	0.2435097347
105	0.2434129134
106	0.2432789625
107	0.2432145623
108	0.2431481798
109	0.243068637
110	0.2429831148
111	0.2428785963
112	0.2427854177
113	0.2426799546
114	0.2426113424
115	0.2425389698
116	0.2424682015
117	0.2423938326
118	0.2423209317
119	0.2422509523
120	0.2421521738
121	0.2420819529
122	0.2419883633
123	0.2419332665
124	0.2418430991
125	0.2417640931
126	0.2417056405
127	0.2416273318
128	0.2415535598
129	0.2414649775
130	0.2413747294
131	0.2412836099
132	0.241211551
133	0.241139576
134	0.2410536191
135	0.2409859757
136	0.2409089252
137	0.2408439899
138	0.2407855974
139	0.2407227858
140	0.2406417692
141	0.2405646582
142	0.2404835744
143	0.2404112616
144	0.2403383268
145	0.240260201
146	0.2401832672
147	0.2401152169
148	0.240058024
149	0.239988299
150	0.2399223674
151	0.2398684594
152	0.2398135776
153	0.2397466331
154	0.2396729522
155	0.2396159726
156	0.2395518557
157	0.2394693075
158	0.2394060985
159	0.2393160917
160	0.2392761551
161	0.2392250536
162	0.2391426279
163	0.2390842662
164	0.2390235569
165	0.238965354
166	0.2389033767
167	0.2388379096
168	0.2387536386
169	0.2386792795
170	0.2386137849
171	0.2385476162
172	0.2384801806
173	0.2383933084
174	0.2383347161
175	0.2382809163
176	0.2382389961
177	0.2381700033
178	0.2381042449
179	0.2380173038
180	0.2379578452
181	0.237899146
182	0.2378279675
183	0.2377635503
184	0.2376961051
185	0.2376497551
186	0.2375874287
187	0.2375456052
188	0.2374815695
189	0.237419299
190	0.2373785048
191	0.2373164909
192	0.2372490958
193	0.2371753538
194	0.2371065431
195	0.2370328682
196	0.2369759681
197	0.2369231875
198	0.2368693311
199	0.236783883
200	0.2367309561
201	0.2366537461
202	0.2366058259
203	0.2365219464
204	0.236452634
205	0.2363899268
206	0.2363239921
207	0.2362707767
208	0.2361936708
209	0.2361100307
210	0.2360483502
211	0.2359755406
212	0.2359048456
213	0.2358557326
214	0.235814288
215	0.2357582653
216	0.2356957277
217	0.2356199711
218	0.2355679744
219	0.2355192861
220	0.2354503678
221	0.2353861189
222	0.2353228327
223	0.2352714633
224	0.2352132192
225	0.2351497205
226	0.2350901373
227	0.2350258082
228	0.2349822395
229	0.2349329966
230	0.2348873015
231	0.2348264762
232	0.2347547161
233	0.2346993833
234	0.2346275721
235	0.2345661234
236	0.2345005271
237	0.2344396622
238	0.2343702106
239	0.2343066565
240	0.2342538666
241	0.2341905396
242	0.2341194441
243	0.2340458586
244	0.2339901308
245	0.2339187746
246	0.2338917862
247	0.2338119688
248	0.2337680607
249	0.2337247157
250	0.2336442333
251	0.2335988621
252	0.2335393448
253	0.2334891907
254	0.2334436192
255	0.2333833269
256	0.2333218312
257	0.2332853037
258	0.2332220683
259	0.2331749546
260	0.2331036269
261	0.2330534065
262	0.2329941903
263	0.2329334752
264	0.2328679576
265	0.2327973131
266	0.232732931
267	0.2326702097
268	0.2325867342
269	0.2325335303
270	0.2324539293
271	0.2323855665
272	0.2323252656
273	0.2322737046
274	0.2322057434
275	0.2321449971
276	0.232060434
277	0.2319842436
278	0.2319107056
279	0.2318570266
280	0.2318070536
281	0.2317678487
282	0.2317114701
283	0.2316569378
284	0.2316133487
285	0.2315577996
286	0.2314964361
287	0.2314322148
288	0.2313758622
289	0.2313137112
290	0.2312408232
291	0.2311798723
292	0.2311206028
293	0.2310682065
294	0.2310088551
295	0.2309557154
296	0.2308864656
297	0.2308331697
298	0.2307730695
299	0.2307225721
300	0.2306425598
301	0.2305842714
302	0.2305353475
303	0.2304851535
304	0.2304307521
305	0.2303766765
306	0.2303294231
307	0.2302568691
308	0.2302004729
309	0.2301449984
310	0.2300869139
311	0.2300443445
312	0.2299835605
313	0.2299248743
314	0.2298763639
315	0.2298095418
316	0.2297393537
317	0.2297060949
318	0.2296269443
319	0.2295591175
320	0.2295099251
321	0.2294625454
322	0.229435788
323	0.2293556512
324	0.2292806203
325	0.2292410105
326	0.2291855464
327	0.2291244507
328	0.2290785474
329	0.2290230075
330	0.228951303
331	0.2288854101
332	0.2288267544
333	0.2287691304
334	0.2287027214
335	0.2286486782
336	0.2286048334
337	0.2285584473
338	0.2285043677
339	0.2284425794
340	0.2283784431
341	0.2283141864
342	0.2282373102
343	0.2281697025
344	0.2280880519
345	0.2280344185
346	0.2279876941
347	0.2279441893
348	0.2279003527
349	0.2278497617
350	0.2277912666
351	0.2277150272
352	0.2276460437
353	0.2275870093
354	0.2275356131
355	0.2274806877
356	0.2274199304
357	0.2273857665
358	0.2273282831
